Titles,math.AG,math.NT
Littlewood-Richardson polynomials,1.0,0.0
A transcendental approach to Koll\'ar's injectivity theorem,1.0,0.0
"The classification of surfaces with p_g=q=1 isogenous to a product of
  curves",1.0,0.0
On line arrangements with applications to 3-nets,1.0,0.0
"Linearisation of finite abelian subgroups of the Cremona group of the
  plane",1.0,0.0
M-regularity of the Fano surface,1.0,0.0
"Higher ramification and varieties of secant divisors on the generic
  curve",1.0,0.0
"Lower order terms in the 1-level density for families of holomorphic
  cuspidal newforms",0.0,1.0
A Symplectic Test of the L-Functions Ratios Conjecture,0.0,1.0
Tautological relations in Hodge field theory,1.0,0.0
Group actions on algebraic stacks via butterflies,1.0,0.0
"B-pairs and (phi,Gamma)-modules",1.0,1.0
Arithmetic homology and an integral version of Katos conjecture,1.0,0.0
Cluster tilting for one-dimensional hypersurface singularities,1.0,0.0
"A geometric proof that $e$ is irrational and a new measure of its
  irrationality",0.0,1.0
On the largest prime factor of the Mersenne numbers,0.0,1.0
"A dynamical version of the Mordell-Lang conjecture for the additive
  group",1.0,1.0
Generalizing circles over algebraic extensions,1.0,0.0
On Lyubeznik's invariants and endomorphisms of local cohomology modules,1.0,0.0
On Virasoro Constraints for Orbifold Gromov-Witten Theory,1.0,0.0
Geometric Invariant Theory and Generalized Eigenvalue Problem,1.0,0.0
"An algebraic proof of Gabrielov's theorem about analytic homomorphisms
  in any characteristic",1.0,0.0
Maximally Sparse Polynomials have Solid Amoebas,1.0,0.0
"Coupled Painlev\'e VI systems in dimension four with affine Weyl group
  symmetry of type $D_6^{(1)}$, II",1.0,0.0
"Ordinary differential systems in dimension three with affine Weyl group
  symmetry of types $D_4^{(1)},B_3^{(1)},G_2^{(1)},D_3^{(2)}$ and $A_2^{(2)}$",1.0,0.0
"Symmetry in the Painlev\'e systems and their extensions to
  four-dimensional systems",1.0,0.0
"Coupled Painlev\'e VI systems in dimension four with affine Weyl group
  symmetry of types $B_6^{(1)}$, $D_6^{(1)}$ and $D_7^{(2)}$",1.0,0.0
Homotopy coherent nerve in Deformation theory,1.0,0.0
Formal completions of N\'eron models for algebraic tori,1.0,1.0
Instantons and curves on class VII surfaces,1.0,0.0
Nahm transform and parabolic minimal Laplace transform,1.0,0.0
Double covering of the Painlev\'e I equation and its singular analysis,1.0,0.0
"On some Hamiltonian structures of coupled Painlev\'e II systems in
  dimension four",1.0,0.0
"Coupled Painlev\'e III system with affine Weyl group symmetry of type
  $D_6^{(1)}$",1.0,0.0
"Global Jacquet-Langlands correspondence, multiplicity one and
  classification of automorphic representations",0.0,1.0
Severi varieties and self rational maps of K3 surfaces,1.0,0.0
Computing modular polynomials in quasi-linear time,0.0,1.0
The moduli space of cubic fourfolds,1.0,0.0
L^2-Betti numbers of plane algebraic curves,1.0,0.0
Orthogonal complex structures on domains in R^4,1.0,0.0
Five-parameter family of partial differential systems in two variables,1.0,0.0
The Special McKay correspondence as an equivalence of derived categories,1.0,0.0
Reconstruction Algebras of Type A,1.0,0.0
Demazure embeddings are smooth,1.0,0.0
"Weight structures vs. $t$-structures; weight filtrations, spectral
  sequences, and complexes (for motives and in general)",1.0,0.0
A general homological Kleiman-Bertini theorem,1.0,0.0
Double solid twistor spaces: the case of arbitrary signature,1.0,0.0
"The Cox Ring of $\bar{M}_{0,6}$",1.0,0.0
Gauss map on the theta divisor and Green's functions,1.0,0.0
Cohomology of line bundles on compactified Jacobians,1.0,0.0
"The Euler characteristic of local systems on the moduli of curves and
  abelian varieties of genus three",1.0,1.0
Unifying derived deformation theories,1.0,0.0
Moduli of toric vector bundles,1.0,0.0
Automorphism groups and anti-pluricanonical curves,1.0,0.0
Birationality of \'etale morphisms via surgery,1.0,0.0
"Quasi Ordinary Singularities, Essential Divisors and Poincare Series",1.0,0.0
Polar Cremona Transformations and Monodromy of Polynomials,1.0,0.0
"Orbifoldes speciales et classification bimeromorphe des varietes
  kaehleriennes compactes",1.0,0.0
"Two-Dimensional Twisted Sigma Models, the Mirror Chiral de Rham Complex,
  and Twisted Generalised Mirror Symmetry",1.0,0.0
Restricted infinitesimal deformations of restricted simple Lie algebras,1.0,1.0
Composite lacunary polynomials and the proof of a conjecture of Schinzel,0.0,1.0
The moduli space of cubic fourfolds via the period map,1.0,0.0
Dirichlet series for finite combinatorial rank dynamics,0.0,1.0
A transcendental approach to Koll\'ar's injectivity theorem II,1.0,0.0
F-thresholds of hypersurfaces,1.0,0.0
Link Homologies and the Refined Topological Vertex,1.0,0.0
Gromov-Witten theory and Noether-Lefschetz theory,1.0,0.0
On Vojta's $1+\epsilon$ Conjecture,1.0,0.0
"Riemann surfaces, ribbon graphs and combinatorial classes",1.0,0.0
Remark on the Garnier system in two variables,1.0,0.0
"On the degree of Polar Transformations -- An approach through
  Logarithmic Foliations",1.0,0.0
Self-duality of Selmer groups,0.0,1.0
Ideals of varieties parameterized by certain symmetric tensors,1.0,0.0
"Intersections of polynomial orbits, and a dynamical Mordell-Lang
  conjecture",1.0,1.0
Vanishing and injectivity theorems for LMMP,1.0,0.0
Notes on the log minimal model program,1.0,0.0
"Mirzakharni's recursion formula is equivalent to the Witten-Kontsevich
  theorem",1.0,0.0
Quantum cohomology of [C^N/\mu_r],1.0,0.0
Double Shuffle Relations of Euler Sums,0.0,1.0
"Construction of maximal unramified p-extensions with prescribed Galois
  groups",0.0,1.0
